//v variables
v anglais
v espagnol
v italien
v norvegien
v japonais
v the
v cafe
v lait
v jus
v eau
v chien
v renard
v cheval
v zebre
v escargot
v jaune
v verte
v bleue
v blanche
v rouge
v peintre
v sculpteur
v diplomate
v violoniste
v docteur
//d domaines
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 3
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
//c contraintes
cv anglais rouge
c 1 1
c 2 2
c 3 3
c 4 4
c 5 5
cv espagnol chien
c 1 1
c 2 2
c 3 3
c 4 4
c 5 5
cv japonais peintre
c 1 1
c 2 2
c 3 3
c 4 4
c 5 5
cv italien the
c 1 1
c 2 2
c 3 3
c 4 4
c 5 5
cv verte cafe
c 1 1
c 2 2
c 3 3
c 4 4
c 5 5
cv verte blanche
c 2 1
c 3 1
c 3 2
c 4 1
c 4 2
c 4 3
c 5 4
c 5 3
c 5 2
c 5 1
cv sculpteur escargot
c 1 1
c 2 2
c 3 3
c 4 4
c 5 5
cv diplomate jaune
c 1 1
c 2 2
c 3 3
c 4 4
c 5 5
cv norvegien bleue
c 1 2
cv violoniste jus
c 1 1
c 2 2
c 3 3
c 4 4
c 5 5
cv renard docteur
c 2 1
c 3 2
c 4 3
c 5 4
cv cheval diplomate
c 2 1
c 3 2
c 4 3
c 5 4
cv zebre blanche
c 1 1
c 2 2
c 3 3
c 4 4
c 5 5
cv anglais italien
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv norvegien anglais
c 1 2
c 1 3
c 1 4
c 1 5
cv anglais japonais
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv anglais espagnol
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv norvegien italien
c 1 2
c 1 3
c 1 4
c 1 5
cv italien espagnol
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv italien japonais
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv norvegien espagnol
c 1 2
c 1 3
c 1 4
c 1 5
cv norvegien japonais
c 1 2
c 1 3
c 1 4
c 1 5
cv japonais espagnol
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
